TABLE	NUMBER	NUMBER_IN_SOURCE	CONCEPT	PROTO_FORM	DOCULECT	VALUE	NOTE
Pano_Lexical_List	1	1	Tree	147.*hiwi	ProPa	hiwi	
Pano_Lexical_List	2	1	Tree	147.*hiwi	Ksh	i	
Pano_Lexical_List	3	1	Tree	147.*hiwi	SK	hiwi	
Pano_Lexical_List	4	1	Tree	147.*hiwi	Kap	hiwi	
Pano_Lexical_List	5	1	Tree	147.*hiwi	Mar	iwi	
Pano_Lexical_List	6	1	Tree	147.*hiwi	Chak	hiwi	
Pano_Lexical_List	7	1	Tree	147.*hiwi	Kax	hiwi	
Pano_Lexical_List	8	1	Tree	147.*hiwi	Yam	iɸi	
Pano_Lexical_List	9	1	Tree	147.*hiwi	Shar	iɸi	
Pano_Lexical_List	10	2	Tooth	414.*ʂɨ-	ProPa	ʂɨ-	
Pano_Lexical_List	11	2	Tooth	414.*ʂɨ-	Ksh	ʂɨta	
Pano_Lexical_List	12	2	Tooth	414.*ʂɨ-	SK	ʂɨta	
Pano_Lexical_List	13	2	Tooth	414.*ʂɨ-	Kap	ʂɨta	
Pano_Lexical_List	14	2	Tooth	414.*ʂɨ-	Mar	ʃɨta	
Pano_Lexical_List	15	2	Tooth	414.*ʂɨ-	Chak	ʂɨta	
Pano_Lexical_List	16	2	Tooth	414.*ʂɨ-	Kax	ʂɨta	
Pano_Lexical_List	17	2	Tooth	414.*ʂɨ-	Shar	ʂɨta	
Pano_Lexical_List	18	3	Two	352.*ra-βɨta	ProPa	ra-βɨta	
Pano_Lexical_List	19	3	Two	352.*ra-βɨta	Ksh	raβɨ	
Pano_Lexical_List	20	3	Two	352.*ra-βɨta	SK	raβɨ	
Pano_Lexical_List	21	3	Two	352.*ra-βɨta	Kap	raβɨ	
Pano_Lexical_List	22	3	Two	352.*ra-βɨta	Mar	ravɨvakĩ	
Pano_Lexical_List	23	3	Two	352.*ra-βɨta	Chak	raβɨ	
